,ReportDate,Region,CaseCategory,INTERNALDESC,Total_Cases,Filed,Pending_At_TakeOver,Abandoned,Granted,Transferred,Withdrawn,Closed,Granted_At_TakeOver,Coalesced_Closed_Events,PROPERTYTYPE,CaseRefs (0-1),CaseRefs (1-2),CaseRefs (2-4),CaseRefs (4-8),CaseRefs (8-16),CaseRefs (16+)
92,2019-12-31 00:00:00,EP,Patent,File Microfilmed/Scanned,11548,10721,643,4661,4024,1505,672,116,1284,10203,P,,,,,,
93,2019-12-31 00:00:00,EP,Patent,Never filed,1,0,0,0,0,0,0,0,0,0,P,,,,,,
94,2019-12-31 00:00:00,EP,Patent,No WIP - Internal Status,1,1,0,0,1,0,0,0,0,1,P,,,,,,
95,2019-12-31 00:00:00,EP,Patent,Not yet filed,215,0,0,0,0,0,0,0,0,0,P,,,,,,
96,2019-12-31 00:00:00,EP,Patent,Opened for WIP Only,131,107,16,97,29,5,4,0,10,125,P,,,,,,
97,2019-12-31 00:00:00,EP,Patent,Pending,6240,5692,548,0,0,0,0,0,0,0,P,,,,,,
98,2019-12-31 00:00:00,EP,Patent,Registered,1176,970,152,0,1116,0,0,0,59,1116,P,,,,,,
99,2019-12-31 00:00:00,EP,Patent,Transferred elsewhere,70,63,4,12,4,70,5,0,3,70,P,,,,,,
100,2019-12-31 00:00:00,Foreign,Patent,Abandoned by client,468,440,20,466,35,1,0,0,4,467,P,,,,,,
101,2019-12-31 00:00:00,Foreign,Patent,Dead,4764,4616,0,2302,0,0,1,383,2055,2686,P,,,,,,
102,2019-12-31 00:00:00,Foreign,Patent,File Closed,4959,3881,530,1349,1213,244,0,334,1754,3114,P,,,,,,
103,2019-12-31 00:00:00,Foreign,Patent,File Destroyed,1122,952,2,483,271,26,0,158,90,903,P,,,,,,
104,2019-12-31 00:00:00,Foreign,Patent,File Microfilmed/Scanned,8949,7170,1554,4086,2979,858,0,381,809,8154,P,,,,,,
105,2019-12-31 00:00:00,Foreign,Patent,Never filed,70,0,0,43,0,1,0,0,0,44,P,,,,,,
106,2019-12-31 00:00:00,Foreign,Patent,Not yet filed,227,0,0,0,0,0,0,0,0,0,P,,,,,,
107,2019-12-31 00:00:00,Foreign,Patent,Opened for WIP Only,116,95,13,40,61,9,0,2,4,112,P,,,,,,
108,2019-12-31 00:00:00,Foreign,Patent,Pending,3519,3225,289,0,0,0,0,0,4,0,P,,,,,,
109,2019-12-31 00:00:00,Foreign,Patent,Registered,528,292,40,0,316,1,0,0,209,316,P,,,,,,
110,2019-12-31 00:00:00,Foreign,Patent,Transferred elsewhere,241,184,38,8,38,224,0,1,10,237,P,,,,,,
111,2019-12-31 00:00:00,GB,Patent,Abandoned by client,101,101,0,101,0,0,15,0,0,101,P,,,,,,
112,2019-12-31 00:00:00,GB,Patent,Dead,5044,5004,0,2343,0,8,85,19,2661,2370,P,,,,,,
113,2019-12-31 00:00:00,GB,Patent,File Closed,2348,2234,26,1293,83,31,55,97,845,1503,P,,,,,,
114,2019-12-31 00:00:00,GB,Patent,File Destroyed,104,89,2,57,4,3,5,9,18,73,P,,,,,,
115,2019-12-31 00:00:00,GB,Patent,File Microfilmed/Scanned,1668,1549,71,828,438,124,123,86,144,1487,P,,,,,,
116,2019-12-31 00:00:00,GB,Patent,Never filed,1,0,0,0,0,0,0,0,0,0,P,,,,,,
117,2019-12-31 00:00:00,GB,Patent,Not yet filed,14,0,0,0,0,0,0,0,0,0,P,,,,,,
118,2019-12-31 00:00:00,GB,Patent,Opened for WIP Only,4,4,0,2,2,0,0,0,0,4,P,,,,,,
119,2019-12-31 00:00:00,GB,Patent,Pending,298,285,13,0,0,0,0,0,0,0,P,,,,,,
120,2019-12-31 00:00:00,GB,Patent,Registered,68,53,7,0,50,0,0,0,18,50,P,,,,,,
121,2019-12-31 00:00:00,GB,Patent,Transferred elsewhere,5,5,0,0,1,5,0,0,0,5,P,,,,,,
122,2019-12-31 00:00:00,PCT,Patent,Abandoned by client,8,4,4,8,0,0,1,0,0,8,P,,,,,,
123,2019-12-31 00:00:00,PCT,Patent,Dead,775,765,0,75,0,0,3,537,0,612,P,,,,,,
124,2019-12-31 00:00:00,PCT,Patent,File Closed,1447,1136,303,35,0,4,4,1400,0,1439,P,,,,,,
125,2019-12-31 00:00:00,PCT,Patent,File Destroyed,111,86,22,7,0,3,0,98,0,108,P,,,,,,
126,2019-12-31 00:00:00,PCT,Patent,File Microfilmed/Scanned,1083,956,123,145,0,36,10,898,0,1081,P,,,,,,
127,2019-12-31 00:00:00,PCT,Patent,Never filed,1,0,0,0,0,0,0,0,0,0,P,,,,,,
128,2019-12-31 00:00:00,PCT,Patent,Not yet filed,12,5,0,0,0,0,0,0,0,0,P,,,,,,
129,2019-12-31 00:00:00,PCT,Patent,Opened for WIP Only,5,4,1,1,0,1,0,3,0,5,P,,,,,,
130,2019-12-31 00:00:00,PCT,Patent,Pending,254,206,48,0,0,0,0,0,0,0,P,,,,,,
131,2019-12-31 00:00:00,PCT,Patent,Transferred elsewhere,2,2,0,1,0,1,0,0,0,2,P,,,,,,
132,2020-01-31 00:00:00,EP,Patent,Abandoned by client,273,241,32,273,16,0,59,0,0,273,P,,,,,,
133,2020-01-31 00:00:00,EP,Patent,Dead,13150,13003,0,5252,0,39,440,116,7762,5404,P,,,,,,
134,2020-01-31 00:00:00,EP,Patent,File Closed,7469,5235,1070,2632,2589,755,300,288,1252,6166,P,,,,,,
135,2020-01-31 00:00:00,EP,Patent,File Destroyed,3135,2987,19,1411,1138,97,127,26,399,2654,P,,,,,,
136,2020-01-31 00:00:00,EP,Patent,File Microfilmed/Scanned,11546,10719,643,4661,4022,1505,672,116,1284,10201,P,,,,,,
137,2020-01-31 00:00:00,EP,Patent,Never filed,1,0,0,0,0,0,0,0,0,0,P,,,,,,
138,2020-01-31 00:00:00,EP,Patent,No WIP - Internal Status,1,1,0,0,1,0,0,0,0,1,P,,,,,,
139,2020-01-31 00:00:00,EP,Patent,Not yet filed,226,0,0,0,0,0,0,0,0,0,P,,,,,,
140,2020-01-31 00:00:00,EP,Patent,Opened for WIP Only,140,113,18,101,33,5,4,0,11,133,P,,,,,,
141,2020-01-31 00:00:00,EP,Patent,Pending,6180,5621,559,0,0,0,0,0,0,0,P,,,,,,
142,2020-01-31 00:00:00,EP,Patent,Registered,1200,984,143,0,1122,0,0,0,78,1122,P,,,,,,
143,2020-01-31 00:00:00,EP,Patent,Transferred elsewhere,115,108,4,13,4,115,5,0,3,115,P,,,,,,
144,2020-01-31 00:00:00,Foreign,Patent,Abandoned by client,482,448,26,480,36,1,0,0,4,481,P,,,,,,
145,2020-01-31 00:00:00,Foreign,Patent,Dead,4764,4616,0,2302,0,0,1,383,2055,2686,P,,,,,,
146,2020-01-31 00:00:00,Foreign,Patent,File Closed,5093,3969,565,1395,1248,286,0,335,1765,3237,P,,,,,,
147,2020-01-31 00:00:00,Foreign,Patent,File Destroyed,1122,952,2,483,271,26,0,158,90,903,P,,,,,,
148,2020-01-31 00:00:00,Foreign,Patent,File Microfilmed/Scanned,8948,7169,1554,4086,2978,858,0,381,809,8153,P,,,,,,
149,2020-01-31 00:00:00,Foreign,Patent,Never filed,74,0,0,47,0,1,0,0,0,48,P,,,,,,
150,2020-01-31 00:00:00,Foreign,Patent,Not yet filed,424,0,0,0,0,0,0,0,0,0,P,,,,,,
151,2020-01-31 00:00:00,Foreign,Patent,Opened for WIP Only,114,95,11,40,59,9,0,2,4,110,P,,,,,,
152,2020-01-31 00:00:00,Foreign,Patent,Pending,3528,3181,343,0,0,0,0,0,4,0,P,,,,,,
153,2020-01-31 00:00:00,Foreign,Patent,Registered,614,298,40,0,321,1,0,0,290,321,P,,,,,,
154,2020-01-31 00:00:00,Foreign,Patent,Transferred elsewhere,261,205,37,8,40,244,0,1,10,257,P,,,,,,
155,2020-01-31 00:00:00,GB,Patent,Abandoned by client,94,94,0,94,0,0,15,0,0,94,P,,,,,,
156,2020-01-31 00:00:00,GB,Patent,Dead,5044,5004,0,2343,0,8,85,19,2661,2370,P,,,,,,
157,2020-01-31 00:00:00,GB,Patent,File Closed,2395,2281,26,1307,85,63,55,97,845,1550,P,,,,,,
158,2020-01-31 00:00:00,GB,Patent,File Destroyed,104,89,2,57,4,3,5,9,18,73,P,,,,,,
159,2020-01-31 00:00:00,GB,Patent,File Microfilmed/Scanned,1668,1549,71,828,438,124,123,86,144,1487,P,,,,,,
160,2020-01-31 00:00:00,GB,Patent,Never filed,1,0,0,0,0,0,0,0,0,0,P,,,,,,
161,2020-01-31 00:00:00,GB,Patent,Not yet filed,16,0,0,0,0,0,0,0,0,0,P,,,,,,
162,2020-01-31 00:00:00,GB,Patent,Opened for WIP Only,4,4,0,2,2,0,0,0,0,4,P,,,,,,
163,2020-01-31 00:00:00,GB,Patent,Pending,240,227,13,0,0,0,0,0,0,0,P,,,,,,
164,2020-01-31 00:00:00,GB,Patent,Registered,72,57,7,0,54,0,0,0,18,54,P,,,,,,
165,2020-01-31 00:00:00,GB,Patent,Transferred elsewhere,25,24,1,0,1,25,0,0,0,25,P,,,,,,
166,2020-01-31 00:00:00,PCT,Patent,Abandoned by client,8,5,3,8,0,0,0,0,0,8,P,,,,,,
167,2020-01-31 00:00:00,PCT,Patent,Dead,775,765,0,75,0,0,3,537,0,612,P,,,,,,
168,2020-01-31 00:00:00,PCT,Patent,File Closed,1476,1145,323,37,0,4,5,1427,0,1468,P,,,,,,
169,2020-01-31 00:00:00,PCT,Patent,File Destroyed,111,86,22,7,0,3,0,98,0,108,P,,,,,,
170,2020-01-31 00:00:00,PCT,Patent,File Microfilmed/Scanned,1083,956,123,145,0,36,10,898,0,1081,P,,,,,,
171,2020-01-31 00:00:00,PCT,Patent,Never filed,1,0,0,0,0,0,0,0,0,0,P,,,,,,
172,2020-01-31 00:00:00,PCT,Patent,Not yet filed,10,0,0,0,0,0,0,0,0,0,P,,,,,,
173,2020-01-31 00:00:00,PCT,Patent,Opened for WIP Only,5,4,1,1,0,1,0,3,0,5,P,,,,,,
174,2020-01-31 00:00:00,PCT,Patent,Pending,253,213,40,0,0,0,0,0,0,0,P,,,,,,
175,2020-01-31 00:00:00,PCT,Patent,Transferred elsewhere,2,2,0,1,0,1,0,0,0,2,P,,,,,,
176,2020-02-29 00:00:00,EP,Patent,Abandoned by client,204,178,25,204,18,0,51,0,0,204,P,,,,,,
